file,bead_number,start_index,end_index,is_test,Logistic Regression_Prediction,Logistic Regression_Correct,Random Forest_Prediction,Random Forest_Correct,SVM_Prediction,SVM_Correct,XGBoost_Prediction,XGBoost_Correct,KNN_Prediction,KNN_Correct,Neural Network_Prediction,Neural Network_Correct,HistGradientBoosting_Prediction,HistGradientBoosting_Correct
112511_BM4A1NE1T220810Y0196.csv,1,9288,13280,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,2,13463,17456,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,3,17603,21595,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,4,41472,44798,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,5,44981,48307,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,6,48462,51788,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,7,63696,65171,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,8,65317,66792,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,9,66940,68414,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,10,68575,70049,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,11,82034,83509,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,12,83661,85135,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,13,85283,86757,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,14,86905,88379,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,15,88538,90012,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,16,90159,91633,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,17,102794,104268,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,18,104419,105893,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,19,106043,107517,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,20,107677,109151,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,21,109330,110804,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,22,110955,112429,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,23,124750,126224,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,24,126369,127844,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,25,127988,129462,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,26,129610,131084,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,27,131226,132700,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,28,132845,134319,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,29,134496,135970,False,,,,,,,,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,30,136123,137597,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,31,137742,139216,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,32,152162,155488,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,33,155631,158957,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,34,167983,171309,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112511_BM4A1NE1T220810Y0196.csv,35,171468,174794,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,1,8882,12875,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,2,13059,17051,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,3,17198,21191,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,4,40629,43955,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,5,44137,47463,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,6,47618,50944,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,7,63572,65046,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,8,65193,66667,False,,,,,,,,,,,,,,
112953_BM4A2NE1T220810Y0200.csv,9,66815,68289,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112953_BM4A2NE1T220810Y0200.csv,10,68450,69924,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
