file,bead_number,start_index,end_index,original_file_label,refined_label,Random Forest_Prediction,HistGradientBoosting_Prediction,Logistic Regression_Prediction,SVM_Prediction,XGBoost_Prediction,KNN_Prediction,Neural Network_Prediction
112511_BM4A1NE1T220810Y0196.csv,1,9288,13280,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,2,13463,17456,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,3,17603,21595,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,4,41472,44798,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,5,44981,48307,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,6,48462,51788,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,7,63696,65171,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,8,65317,66792,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,9,66940,68414,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,10,68575,70049,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,11,82034,83509,OK,OK,OK,OK,OK,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,12,83661,85135,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,13,85283,86757,OK,OK,OK,OK,OK,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,14,86905,88379,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,15,88538,90012,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,16,90159,91633,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,17,102794,104268,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,18,104419,105893,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,19,106043,107517,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,20,107677,109151,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,21,109330,110804,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,22,110955,112429,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,23,124750,126224,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,24,126369,127844,OK,OK,OK,OK,OK,OK,OK,Hot Melt,OK
112511_BM4A1NE1T220810Y0196.csv,25,127988,129462,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,26,129610,131084,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,27,131226,132700,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,28,132845,134319,OK,OK,OK,OK,OK,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,29,134496,135970,OK,OK,,,,,,,
112511_BM4A1NE1T220810Y0196.csv,30,136123,137597,OK,OK,OK,OK,OK,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,31,137742,139216,OK,OK,OK,OK,OK,OK,OK,Weak Weld,OK
112511_BM4A1NE1T220810Y0196.csv,32,152162,155488,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,33,155631,158957,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,34,167983,171309,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
112511_BM4A1NE1T220810Y0196.csv,35,171468,174794,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,1,10716,14709,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,2,14892,18884,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,3,19031,23024,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,4,42339,45666,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,5,45850,49176,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,6,49331,52657,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,7,63497,64971,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,8,65127,66601,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,9,66750,68224,OK,OK,OK,OK,Poor Appearance,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,10,68385,69859,OK,OK,OK,OK,Weak Weld,Weak Weld,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,11,82308,83783,OK,OK,OK,OK,Hot Melt,OK,OK,OK,OK
103351_BM4A2NE1T220810Y0188.csv,12,83935,85409,OK,OK,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,13,85552,87026,OK,OK,OK,Weak Weld,OK,Poor Appearance,Weak Weld,OK,OK
